instance_id,raw_result,optimal_makespan,accuracy,runtime_seconds
1,10921,7274,66.61,0.012344
2,10842,8006,73.84,0.006328
3,5738,4358,75.95,0.003758
4,8908,6293,70.64,0.00924
5,7461,4224,56.61,0.002967
6,1461,930,63.66,0.004608
7,5503,3859,70.13,0.012848
8,3733,3095,82.91,0.005493
9,10876,8191,75.31,0.08816
10,10877,7108,65.35,0.006171
11,9581,6292,65.67,0.004841
12,676,544,80.47,0.007515
13,6801,4757,69.95,0.003679
14,5956,3875,65.06,0.004729
15,2616,1749,66.86,0.006221
16,10769,7310,67.88,0.009096
17,8588,6217,72.39,0.009109
18,11253,8482,75.38,0.08684
19,6435,4813,74.79,0.006837
20,2640,1937,73.37,0.006787
21,11630,7953,68.38,0.006803
22,15335,10671,69.59,0.012487
23,615,474,77.07,0.004964
24,7632,5686,74.5,0.005722
25,8993,6633,73.76,0.006722
26,1287,808,62.78,0.002916
27,5262,3373,64.1,0.004092
28,2455,1761,71.73,0.009683
29,12898,9607,74.48,0.086195
30,11359,8286,72.95,0.005532
31,1945,1352,69.51,0.013274
32,10533,6986,66.32,0.009158
33,2803,1963,70.03,0.009367
34,13505,10374,76.82,0.012479
35,4401,2797,63.55,0.002908
36,3683,2416,65.6,0.003693
37,8279,5576,67.35,0.009894
38,7738,4694,60.66,0.002935
39,1510,1072,70.99,0.012825
40,7550,5760,76.29,0.034144
41,12771,10117,79.22,0.03391
42,4862,3587,73.78,0.006978
43,4229,3041,71.91,0.00617
44,4603,3025,65.72,0.002787
45,492,380,77.24,0.004901
46,1376,1133,82.34,0.006679
47,7658,6115,79.85,0.00578
48,12927,9375,72.52,0.034872
49,1863,1309,70.26,0.012954
50,18568,13087,70.48,0.033962
51,5419,3923,72.39,0.005758
52,6765,4862,71.87,0.006814
53,10077,6380,63.31,0.005663
54,5488,4006,73.0,0.009698
55,16229,12188,75.1,0.033662
56,10700,6997,65.39,0.009319
57,6979,4848,69.47,0.007048
58,14387,9000,62.56,0.009198
59,9366,6194,66.13,0.004662
60,21050,15619,74.2,0.087701
61,24078,16646,69.13,0.03389
62,16517,12642,76.54,0.033876
63,7145,4883,68.34,0.003952
64,2503,1901,75.95,0.007523
65,2458,2181,88.73,0.090173
66,11376,8003,70.35,0.00626
67,4100,2641,64.41,0.002879
68,13585,10785,79.39,0.034109
69,7275,5058,69.53,0.002828
70,17345,12288,70.84,0.033818
71,5653,3917,69.29,0.006316
72,9831,7047,71.68,0.005847
73,9990,7464,74.71,0.007455
74,11582,7970,68.81,0.006763
75,10461,6041,57.75,0.003649
76,4273,2688,62.91,0.002707
77,26112,19849,76.01,0.08643
78,8183,5735,70.08,0.005615
79,8583,6202,72.26,0.006806
80,12552,8609,68.59,0.012514
81,9379,6578,70.14,0.088305
82,2384,1558,65.35,0.002901
83,6845,4466,65.24,0.006205
84,10965,8372,76.35,0.006912
85,5697,3723,65.35,0.004729
86,7754,5026,64.82,0.003867
87,6183,3794,61.36,0.003683
88,3317,2253,67.92,0.006169
89,10172,6947,68.3,0.012306
90,5166,3782,73.21,0.009587
91,3760,2504,66.6,0.007002
92,21584,16552,76.69,0.090713
93,3006,2233,74.28,0.006704
94,1461,1232,84.33,0.005652
95,2759,1922,69.66,0.005816
96,2319,1730,74.6,0.009603
97,6054,3873,63.97,0.002746
98,880,712,80.91,0.007052
99,6611,4842,73.24,0.006176
100,10949,8371,76.45,0.087889
101,3933,2892,73.53,0.00698
102,6342,4339,68.42,0.01247
103,833,613,73.59,0.006433
104,20401,14414,70.65,0.033828
105,2017,1290,63.96,0.004004
106,548,441,80.47,0.006964
107,2380,1828,76.81,0.006242
108,1926,1418,73.62,0.012737
109,8251,5764,69.86,0.003676
110,11536,7759,67.26,0.006648
111,12720,8911,70.06,0.005645
112,5563,4178,75.1,0.005566
113,10763,7615,70.75,0.006745
114,10599,7161,67.56,0.013222
115,4239,2887,68.11,0.005591
116,5232,3331,63.67,0.006681
117,1122,848,75.58,0.007278
118,3594,2486,69.17,0.006419
119,9233,6799,73.64,0.009533
120,1277,902,70.63,0.006344
121,8170,5244,64.19,0.004555
122,3847,2784,72.37,0.006955
123,2798,1884,67.33,0.006977
124,9912,6871,69.32,0.087408
125,9119,7255,79.56,0.087758
126,6162,4969,80.64,0.005764
127,7378,4782,64.81,0.002874
128,8852,6689,75.56,0.00704
129,2442,1511,61.88,0.003404
130,3794,3148,82.97,0.007217
131,1890,1334,70.58,0.012963
132,10764,7242,67.28,0.012623
133,2522,2027,80.37,0.099272
134,1648,1176,71.36,0.006331
135,4419,2998,67.84,0.00463
136,5840,4320,73.97,0.006572
137,13100,8636,65.92,0.008971
138,11684,7335,62.78,0.007281
139,2813,2552,90.72,0.09
140,5670,4458,78.62,0.034693
141,9111,6443,70.72,0.004784
142,700,600,85.71,0.006455
143,989,695,70.27,0.015519
144,9184,6771,73.73,0.004552
145,13395,9701,72.42,0.009296
146,6593,4343,65.87,0.007141
147,3356,2157,64.27,0.006616
148,3204,2200,68.66,0.013104
149,1605,1096,68.29,0.012952
150,6401,4348,67.93,0.003816
151,9376,6941,74.03,0.012423
152,4766,3617,75.89,0.037904
153,3752,2468,65.78,0.004859
154,9337,6553,70.18,0.00618
155,2934,2327,79.31,0.014655
156,6451,4015,62.24,0.004563
157,13377,10752,80.38,0.038219
158,2224,1726,77.61,0.012706
159,9088,6064,66.73,0.012353
160,704,535,75.99,0.005802
161,2156,1517,70.36,0.003893
162,4464,3354,75.13,0.012714
163,698,472,67.62,0.003102
164,2431,1566,64.42,0.003645
165,12618,9331,73.95,0.086758
166,13282,8890,66.93,0.009182
167,5861,4175,71.23,0.006135
168,7913,5813,73.46,0.005579
169,5660,3600,63.6,0.012321
170,5943,4415,74.29,0.012419
171,30605,21977,71.81,0.086282
172,10254,5854,57.09,0.003863
173,9396,6303,67.08,0.004773
174,7732,5520,71.39,0.003956
175,11559,8416,72.81,0.013122
176,5868,3866,65.88,0.003962
177,8340,5766,69.14,0.036174
178,6861,4727,68.9,0.00325
179,7104,4845,68.2,0.003313
180,8515,6053,71.09,0.00426
181,5418,3348,61.79,0.003338
182,2537,1864,73.47,0.009457
183,21528,15617,72.54,0.086526
184,9135,5527,60.5,0.003653
185,8097,5403,66.73,0.009644
186,10006,6500,64.96,0.007449
187,7437,4755,63.94,0.002896
188,8622,6636,76.97,0.003967
189,2112,1389,65.77,0.003064
190,6917,4735,68.45,0.005814
191,982,657,66.9,0.006576
192,3399,2751,80.94,0.007425
193,5347,4048,75.71,0.005797
194,2742,1920,70.02,0.002749
195,26362,18401,69.8,0.094138
196,5104,3881,76.04,0.005698
197,6372,4649,72.96,0.00633
198,570,445,78.07,0.00286
199,6066,4357,71.83,0.00627
200,10166,7378,72.58,0.086839
201,3018,1955,64.78,0.006403
202,17839,12730,71.36,0.08699
203,8305,5924,71.33,0.004945
204,2701,1882,69.68,0.004789
205,12230,7663,62.66,0.012277
206,7098,5038,70.98,0.006799
207,4612,3044,66.0,0.006117
208,10439,6763,64.79,0.012702
209,10264,7435,72.44,0.006238
210,5729,4133,72.14,0.006251
211,16569,11212,67.67,0.034493
212,13469,9828,72.97,0.088019
213,6920,4472,64.62,0.002887
214,6092,4077,66.92,0.003036
215,5775,3911,67.72,0.002722
216,9078,6095,67.14,0.009208
217,6906,4690,67.91,0.003684
218,4448,2867,64.46,0.003692
219,14797,10660,72.04,0.009299
220,6705,4450,66.37,0.004616
221,2168,1584,73.06,0.006894
222,11357,7586,66.8,0.006719
223,2111,1577,74.7,0.006898
224,6799,5021,73.85,0.0091
225,10420,6805,65.31,0.004527
226,3155,2240,71.0,0.002805
227,7053,5523,78.31,0.087748
228,3205,2168,67.64,0.00298
229,2097,1511,72.06,0.009509
230,7998,5815,72.71,0.009385
231,5902,4159,70.47,0.009101
232,1416,1224,86.44,0.035982
233,2001,1321,66.02,0.0029
234,5106,3350,65.61,0.002732
235,5977,4054,67.83,0.002804
236,10928,8151,74.59,0.006713
237,3284,2429,73.96,0.006192
238,28049,20686,73.75,0.086578
239,2949,1956,66.33,0.003129
240,14481,10081,69.62,0.012431
241,6922,4659,67.31,0.005553
242,10120,6940,68.58,0.012391
243,9695,6555,67.61,0.004716
244,9402,6753,71.83,0.005617
245,610,474,77.7,0.010075
246,1358,1125,82.84,0.005677
247,8609,5582,64.84,0.004528
248,25916,19358,74.7,0.086943
249,4778,2993,62.64,0.002942
250,1877,1248,66.49,0.002761
251,4995,3408,68.23,0.009386
252,4175,2733,65.46,0.00319
253,3565,2199,61.68,0.003833
254,9107,6018,66.08,0.006262
255,985,808,82.03,0.005729
256,2406,1592,66.17,0.003693
257,17387,13311,76.56,0.087501
258,939,721,76.78,0.009699
259,14428,11023,76.4,0.034343
260,14056,9591,68.23,0.009169
261,3117,2022,64.87,0.003853
262,17001,13630,80.17,0.039035
263,4968,3490,70.25,0.009377
264,2933,1794,61.17,0.003625
265,4007,2820,70.38,0.010936
266,5484,3755,68.47,0.003042
267,11854,7748,65.36,0.006291
268,29006,22188,76.49,0.086158
269,21731,15629,71.92,0.086876
270,12900,8791,68.15,0.006739
271,11783,8249,70.01,0.012318
272,535,427,79.81,0.002994
273,11012,8045,73.06,0.005537
274,20261,14593,72.03,0.086693
275,334,258,77.25,0.003326
276,7870,5259,66.82,0.004706
277,18351,13451,73.3,0.087178
278,3051,2493,81.71,0.005618
279,8996,6723,74.73,0.005516
280,7105,4455,62.7,0.004666
281,1855,1345,72.51,0.005712
282,11791,8361,70.91,0.006163
283,9079,5649,62.22,0.003217
284,9175,6393,69.68,0.006868
285,2870,1793,62.47,0.003894
286,7631,5499,72.06,0.038866
287,16498,11593,70.27,0.08651
288,8029,5582,69.52,0.002779
289,12015,8607,71.64,0.012681
290,3721,2474,66.49,0.004631
291,14107,10816,76.67,0.09216
292,5764,3765,65.32,0.009188
293,9765,6416,65.7,0.003753
294,23699,17668,74.55,0.086366
295,8065,5579,69.18,0.007167
296,1997,1647,82.47,0.040541
297,8133,5347,65.74,0.003957
298,6340,4333,68.34,0.003944
299,11096,7386,66.56,0.005662
300,11199,8336,74.44,0.03461
301,11542,7875,68.23,0.006489
302,5040,3202,63.53,0.003042
303,7713,5022,65.11,0.009427
304,4292,2930,68.27,0.004932
305,27540,17597,63.9,0.092933
306,5881,4103,69.77,0.006935
307,5145,3784,73.55,0.006999
308,5771,4423,76.64,0.003708
309,6153,3748,60.91,0.003916
310,8778,5749,65.49,0.002945
311,7279,4271,58.68,0.002929
312,6158,4131,67.08,0.00384
313,18266,14102,77.2,0.033672
314,4490,2659,59.22,0.006162
315,20727,14099,68.02,0.086139
316,2696,1959,72.66,0.006109
317,3956,2853,72.12,0.012473
318,12650,8550,67.59,0.012318
319,7795,5406,69.35,0.006284
320,6360,4579,72.0,0.006109
321,13875,10469,75.45,0.033852
322,10249,7455,72.74,0.005874
323,16001,12490,78.06,0.033758
324,6821,4896,71.78,0.034271
325,4066,2817,69.28,0.004722
326,5661,3842,67.87,0.003864
327,2739,2169,79.19,0.007232
328,9448,5637,59.66,0.003645
329,1886,1473,78.1,0.035336
330,1697,1477,87.04,0.035335
331,10805,6761,62.57,0.006084
332,2717,1757,64.67,0.006838
333,859,665,77.42,0.01322
334,8745,6315,72.21,0.009287
335,3593,2368,65.91,0.002754
336,1665,1136,68.23,0.002903
337,23340,16609,71.16,0.035759
338,4393,3293,74.96,0.0127
339,3597,2622,72.89,0.006336
340,2171,1547,71.26,0.003653
341,14772,10326,69.9,0.014362
342,20990,16627,79.21,0.092323
343,7426,5498,74.04,0.004069
344,1260,942,74.76,0.006426
345,4157,3125,75.17,0.00922
346,10411,7170,68.87,0.012769
347,8409,5732,68.17,0.003705
348,13146,10624,80.82,0.087282
349,5559,3894,70.05,0.006506
350,7403,4685,63.29,0.002688
351,1519,1044,68.73,0.012878
352,7448,5548,74.49,0.006977
353,3384,2559,75.62,0.009261
354,8451,6398,75.71,0.03422
355,20232,14947,73.88,0.033878
356,31174,22617,72.55,0.086643
357,10202,7324,71.79,0.009209
358,1353,954,70.51,0.003748
359,5145,3325,64.63,0.007027
360,2897,2110,72.83,0.003656
361,13077,9407,71.94,0.012863
362,6212,4142,66.68,0.004945
363,7817,5482,70.13,0.007094
364,25762,19770,76.74,0.086669
365,9296,7151,76.93,0.005775
366,3353,2168,64.66,0.00284
367,12377,8672,70.07,0.006087
368,8190,5328,65.05,0.00458
369,4901,3690,75.29,0.005741
370,3416,2518,73.71,0.08969
371,9923,7041,70.96,0.014177
372,1062,792,74.58,0.012932
373,9089,5277,58.06,0.002937
374,5034,3429,68.12,0.0038
375,945,722,76.4,0.011994
376,11689,7354,62.91,0.008916
377,1747,1322,75.67,0.005617
378,9224,6609,71.65,0.006699
379,1237,958,77.45,0.012845
380,9780,7119,72.79,0.006765
381,3917,2883,73.6,0.009151
382,4986,3741,75.03,0.009151
383,6920,4252,61.45,0.009312
384,13269,8706,65.61,0.009624
385,8350,5341,63.96,0.004416
386,6614,4202,63.53,0.005827
387,6397,4743,74.14,0.003067
388,7570,6362,84.04,0.006906
389,3027,2342,77.37,0.01094
390,3617,3001,82.97,0.006219
391,6106,3964,64.92,0.005634
392,12809,8798,68.69,0.009633
393,10954,7929,72.38,0.012614
394,4485,2814,62.74,0.002881
395,6448,4187,64.93,0.00364
396,1090,763,70.0,0.005217
397,2663,2310,86.74,0.03533
398,2564,1666,64.98,0.002756
399,9811,7432,75.75,0.012663
400,18312,13448,73.44,0.036277
401,1364,946,69.35,0.003788
402,6873,4920,71.58,0.012466
403,1711,1197,69.96,0.004601
404,5764,4274,74.15,0.034752
405,21366,15693,73.45,0.08664
406,13459,7989,59.36,0.007412
407,4887,3378,69.12,0.006819
408,12328,8686,70.46,0.012332
409,5062,3304,65.27,0.002909
410,1344,1205,89.66,0.036059
411,7040,4829,68.59,0.012802
412,1376,967,70.28,0.006506
413,8957,5861,65.43,0.006178
414,2928,1769,60.42,0.004643
415,6005,3770,62.78,0.006382
416,4774,3432,71.89,0.006682
417,7043,4586,65.11,0.012906
418,10006,6928,69.24,0.0062
419,9895,7356,74.34,0.014382
420,11804,8401,71.17,0.013878
421,2359,1612,68.33,0.004019
422,7944,5514,69.41,0.004828
423,6460,4778,73.96,0.034441
424,11123,8575,77.09,0.034241
425,14884,10119,67.99,0.087043
426,15056,11979,79.56,0.08687
427,7064,4898,69.34,0.00938
428,7380,5457,73.94,0.006013
429,8715,6777,77.76,0.087456
430,5697,3531,61.98,0.002878
431,4679,3458,73.9,0.003685
432,7397,5239,70.83,0.006148
433,1316,935,71.05,0.009588
434,10454,7191,68.79,0.009223
435,15423,10880,70.54,0.012352
436,2445,1895,77.51,0.090603
437,7471,4850,64.92,0.00488
438,9175,5368,58.51,0.003111
439,1367,926,67.74,0.004294
440,10290,7198,69.95,0.006988
441,2945,1908,64.79,0.004006
442,3029,2201,72.66,0.00843
443,6280,4871,77.56,0.034654
444,5832,4333,74.3,0.034833
445,7468,4666,62.48,0.012442
446,21507,16005,74.42,0.086324
447,8748,5214,59.6,0.006993
448,2563,1769,69.02,0.006926
449,6924,4871,70.35,0.007543
450,4332,2882,66.53,0.013152
451,29771,22931,77.02,0.090361
452,3726,2311,62.02,0.003088
453,21791,16070,73.75,0.086419
454,5844,4162,71.22,0.005678
455,2856,2101,73.56,0.013824
456,5303,3332,62.83,0.003092
457,2979,2044,68.61,0.005861
458,8907,6283,70.54,0.006897
459,3710,2370,63.88,0.003964
460,7497,5043,67.27,0.009541
461,5029,3459,68.78,0.006219
462,8313,5707,68.65,0.012622
463,1505,1167,77.54,0.005859
464,1312,927,70.66,0.005634
465,10686,7964,74.53,0.005536
466,8410,6503,77.32,0.006097
467,6765,4385,64.82,0.004582
468,4243,3003,70.78,0.012735
