sample_no,instance_id,raw_result,accuracy,time_required
1,40x40_276.jsp,8750,83.13,2.0747
2,40x20_1470.jsp,8748,91.52,2.0391
3,30x20_1769.jsp,4425,98.49,2.0247
4,50x20_564.jsp,7251,86.79,2.0516
5,30x15_231.jsp,4552,92.79,2.0189
6,40x15_792.jsp,1049,88.66,2.0284
7,40x40_1508.jsp,4472,86.29,2.0784
8,30x30_2385.jsp,3200,96.72,2.0379
9,100x50_81.jsp,9219,88.85,2.3836
10,40x20_569.jsp,8233,86.34,2.0369
11,40x15_924.jsp,7768,81.0,2.0272
12,50x15_681.jsp,644,84.47,1.3297
13,30x20_2098.jsp,5230,90.96,2.0252
14,40x15_691.jsp,4529,85.56,2.0292
15,40x20_570.jsp,2088,83.76,2.0377
16,50x20_805.jsp,8856,82.54,2.0548
17,50x20_845.jsp,6964,89.27,2.0502
18,100x50_3534.jsp,9876,85.88,2.402
19,50x15_457.jsp,5216,92.27,2.0394
20,50x15_971.jsp,2252,86.01,2.0374
21,50x15_754.jsp,9580,83.02,1.3611
22,40x40_1659.jsp,12802,83.35,2.0808
23,40x15_497.jsp,512,92.58,2.0272
24,30x30_418.jsp,5871,96.85,2.0403
25,50x15_184.jsp,7357,90.16,2.038
26,30x15_509.jsp,871,92.77,2.0194
27,30x20_1598.jsp,3683,91.58,2.026
28,50x20_361.jsp,2173,81.04,2.0505
29,100x50_747.jsp,10429,92.12,2.3936
30,30x30_2098.jsp,8814,94.01,2.0391
31,40x40_1083.jsp,1721,78.56,2.0762
32,50x20_319.jsp,8114,86.1,2.0543
33,50x20_127.jsp,2457,79.89,1.8224
34,40x40_1459.jsp,10976,94.52,2.0786
35,30x15_602.jsp,3128,89.42,2.0195
36,30x20_2029.jsp,2585,93.46,2.026
37,50x20_887.jsp,6579,84.75,2.0538
38,30x15_329.jsp,5474,85.75,2.0193
39,40x40_1069.jsp,1340,80.0,2.0812
40,100x20_634.jsp,6336,90.91,2.1529
41,100x20_853.jsp,11332,89.28,2.1487
42,50x15_383.jsp,4060,88.35,2.0365
43,40x20_504.jsp,3179,95.66,2.0388
44,30x15_57.jsp,3455,87.55,2.0192
45,40x15_775.jsp,432,87.96,2.0276
46,40x20_1215.jsp,1164,97.34,2.0359
47,30x30_1355.jsp,6115,100.0,2.0376
48,100x20_491.jsp,10475,89.5,2.1522
49,40x40_1996.jsp,1602,81.71,2.0779
50,100x20_1569.jsp,15379,85.1,2.155
51,30x30_1008.jsp,3979,98.59,2.0392
52,50x15_789.jsp,5406,89.94,2.0386
53,30x30_2372.jsp,7086,90.04,2.0395
54,50x20_678.jsp,4845,82.68,1.8262
55,100x20_456.jsp,14321,85.11,2.1528
56,50x20_99.jsp,7980,87.68,2.0513
57,50x15_774.jsp,5151,94.12,2.039
58,50x20_607.jsp,11700,76.92,2.0551
59,40x15_478.jsp,7226,85.72,2.0276
60,100x50_3275.jsp,16849,92.7,2.3843
61,100x20_326.jsp,18786,88.61,2.1495
62,100x20_460.jsp,13877,91.1,2.1494
63,30x20_1397.jsp,5175,94.36,2.0262
64,50x15_177.jsp,2126,89.42,2.0386
65,100x50_3138.jsp,2301,94.78,2.385
66,40x20_608.jsp,9424,84.92,2.0412
67,30x15_382.jsp,3088,85.52,2.0186
68,100x20_1631.jsp,12175,88.58,2.1504
69,30x15_142.jsp,5388,93.88,2.0188
70,100x20_414.jsp,14815,82.94,2.1571
71,40x20_1598.jsp,4537,86.33,2.0364
72,30x30_1885.jsp,7861,89.65,2.0423
73,50x15_914.jsp,8284,90.1,2.0408
74,50x15_561.jsp,9076,87.81,2.0387
75,30x20_423.jsp,6915,87.36,2.0257
76,30x15_106.jsp,3085,87.13,2.0191
77,100x50_2793.jsp,22971,86.41,2.3836
78,30x30_918.jsp,5735,100.0,2.0412
79,50x15_863.jsp,6735,92.09,2.038
80,40x40_851.jsp,10029,85.84,2.0825
81,100x50_1452.jsp,7732,85.08,2.3901
82,30x15_38.jsp,1741,89.49,2.0067
83,40x20_1814.jsp,4852,92.04,2.0393
84,50x15_246.jsp,9378,89.27,2.0384
85,40x15_83.jsp,4192,88.81,2.0293
86,30x20_1198.jsp,5688,88.36,2.0272
87,30x20_1636.jsp,4343,87.36,2.0252
88,40x20_655.jsp,2975,75.73,2.0374
89,40x40_85.jsp,8129,85.46,2.0795
90,50x20_935.jsp,4357,86.8,2.0502
91,50x15_534.jsp,2797,89.52,2.038
92,100x50_1945.jsp,19168,86.35,2.3919
93,40x20_360.jsp,2397,93.16,2.0365
94,30x30_2118.jsp,1232,100.0,2.04
95,30x30_1988.jsp,2025,94.91,2.0375
96,50x20_509.jsp,2182,79.29,1.796
97,30x15_824.jsp,4418,87.66,2.0198
98,50x15_838.jsp,731,97.4,2.0409
99,40x20_1934.jsp,5295,91.44,2.0365
100,100x50_1519.jsp,9292,90.09,2.3917
101,50x15_233.jsp,3183,90.86,2.0377
102,40x40_1942.jsp,5136,84.48,2.0762
103,40x20_1357.jsp,741,82.73,1.4739
104,100x20_237.jsp,16871,85.44,2.1516
105,30x20_1805.jsp,1417,91.04,2.0264
106,40x20_1.jsp,471,93.63,2.0375
107,40x20_1530.jsp,1942,94.13,2.0385
108,40x40_1841.jsp,1721,82.39,2.0809
109,30x20_1888.jsp,6243,92.33,2.0257
110,40x20_968.jsp,9481,81.84,1.4979
111,30x30_143.jsp,9397,94.83,2.0392
112,30x30_157.jsp,4178,100.0,2.0383
113,50x15_891.jsp,8929,85.28,2.0401
114,40x40_1284.jsp,8318,86.09,2.0743
115,30x30_603.jsp,3071,94.01,2.0388
116,40x20_1906.jsp,3769,88.38,2.0369
117,50x15_603.jsp,966,87.78,2.0386
118,40x20_1599.jsp,2916,85.25,2.0398
119,50x20_701.jsp,7953,85.49,1.7949
120,40x20_137.jsp,1104,81.7,2.0382
