sample_no,instance_id,raw_result,accuracy,time_required
1,40x40_276.jsp,8665,83.95,2.0731
2,40x20_1470.jsp,8238,97.18,1.9996
3,30x20_1769.jsp,4572,95.32,2.0066
4,50x20_564.jsp,6918,90.97,2.0472
5,30x15_231.jsp,4720,89.49,1.9691
6,40x15_792.jsp,1043,89.17,2.0226
7,40x40_1508.jsp,4401,87.68,2.0917
8,30x30_2385.jsp,3195,96.87,2.0358
9,100x50_81.jsp,9213,88.91,2.3502
10,40x20_569.jsp,8295,85.69,2.0284
11,40x15_924.jsp,7817,80.49,1.9901
12,50x15_681.jsp,579,93.96,2.0071
13,30x20_2098.jsp,5224,91.06,1.9978
14,40x15_691.jsp,4772,81.2,1.9755
15,40x20_570.jsp,2001,87.41,2.0288
16,50x20_805.jsp,8531,85.69,2.0095
17,50x20_845.jsp,6617,93.95,2.0378
18,100x50_3534.jsp,9876,85.88,2.3491
19,50x15_457.jsp,4971,96.82,2.0214
20,50x15_971.jsp,2108,91.89,2.0291
21,50x15_754.jsp,8482,93.76,1.9939
22,40x40_1659.jsp,12249,87.12,2.0726
23,40x15_497.jsp,534,88.76,2.013
24,30x30_418.jsp,5956,95.47,2.0316
25,50x15_184.jsp,7017,94.53,1.9986
26,30x15_509.jsp,872,92.66,1.9605
27,30x20_1598.jsp,3900,86.49,2.019
28,50x20_361.jsp,2083,84.54,2.0401
29,100x50_747.jsp,10423,92.17,2.3483
30,30x30_2098.jsp,9917,83.55,2.0195
31,40x40_1083.jsp,1720,78.6,2.0729
32,50x20_319.jsp,7804,89.52,2.0502
33,50x20_127.jsp,2289,85.76,2.0444
34,40x40_1459.jsp,10374,100.0,2.0718
35,30x15_602.jsp,3620,77.27,1.9728
36,30x20_2029.jsp,2644,91.38,1.9891
37,50x20_887.jsp,6108,91.29,2.0401
38,30x15_329.jsp,5028,93.36,1.9637
39,40x40_1069.jsp,1299,82.53,2.0733
40,100x20_634.jsp,6321,91.12,2.1323
41,100x20_853.jsp,10636,95.12,2.1351
42,50x15_383.jsp,4149,86.45,2.0253
43,40x20_504.jsp,3145,96.69,2.0012
44,30x15_57.jsp,3821,79.17,1.9626
45,40x15_775.jsp,421,90.26,2.0017
46,40x20_1215.jsp,1133,100.0,2.0358
47,30x30_1355.jsp,6115,100.0,2.0026
48,100x20_491.jsp,10323,90.82,2.1148
49,40x40_1996.jsp,1574,83.16,2.0722
50,100x20_1569.jsp,14783,88.53,2.1235
51,30x30_1008.jsp,3923,100.0,2.0341
52,50x15_789.jsp,5148,94.44,1.9992
53,30x30_2372.jsp,6997,91.18,2.0376
54,50x20_678.jsp,4543,88.18,2.0066
55,100x20_456.jsp,13850,88.0,2.1207
56,50x20_99.jsp,7380,94.81,2.0481
57,50x15_774.jsp,5173,93.72,2.0162
58,50x20_607.jsp,11162,80.63,2.0491
59,40x15_478.jsp,7030,88.11,1.9885
60,100x50_3275.jsp,16823,92.84,2.3432
61,100x20_326.jsp,18536,89.8,2.1186
62,100x20_460.jsp,13641,92.68,2.1287
63,30x20_1397.jsp,5230,93.37,1.9749
64,50x15_177.jsp,1988,95.62,1.993
65,100x50_3138.jsp,2300,94.83,2.3528
66,40x20_608.jsp,8908,89.84,2.0313
67,30x15_382.jsp,2997,88.12,1.9631
68,100x20_1631.jsp,11689,92.27,2.1245
69,30x15_142.jsp,5285,95.7,1.9606
70,100x20_414.jsp,14155,86.81,2.1342
71,40x20_1598.jsp,4490,87.24,1.9981
72,30x30_1885.jsp,7775,90.64,2.0353
73,50x15_914.jsp,8108,92.06,1.9956
74,50x15_561.jsp,8751,91.08,1.9975
75,30x20_423.jsp,6992,86.4,1.986
76,30x15_106.jsp,3067,87.64,1.9913
77,100x50_2793.jsp,22967,86.42,2.3477
78,30x30_918.jsp,5735,100.0,2.0329
79,50x15_863.jsp,6577,94.3,2.0303
80,40x40_851.jsp,9638,89.32,2.0738
81,100x50_1452.jsp,7732,85.08,2.3734
82,30x15_38.jsp,1825,85.37,1.9647
83,40x20_1814.jsp,4660,95.84,2.0308
84,50x15_246.jsp,8728,95.92,2.0293
85,40x15_83.jsp,4170,89.28,1.9814
86,30x20_1198.jsp,6068,82.83,2.0219
87,30x20_1636.jsp,4251,89.25,1.9957
88,40x20_655.jsp,2784,80.93,1.9973
89,40x40_85.jsp,7900,87.94,2.0729
90,50x20_935.jsp,4149,91.15,2.0359
91,50x15_534.jsp,2719,92.09,2.027
92,100x50_1945.jsp,19166,86.36,2.3438
93,40x20_360.jsp,2325,96.04,2.0272
94,30x30_2118.jsp,1232,100.0,2.0371
95,30x30_1988.jsp,2176,88.33,2.007
96,50x20_509.jsp,1973,87.68,2.0494
97,30x15_824.jsp,4539,85.33,1.9624
98,50x15_838.jsp,712,100.0,2.0265
99,40x20_1934.jsp,5148,94.06,2.0007
100,100x50_1519.jsp,9292,90.09,2.3475
101,50x15_233.jsp,3229,89.56,2.0172
102,40x40_1942.jsp,4998,86.81,2.0733
103,40x20_1357.jsp,664,92.32,2.0241
104,100x20_237.jsp,16474,87.5,2.1319
105,30x20_1805.jsp,1569,82.22,1.9865
106,40x20_1.jsp,447,98.66,2.0256
107,40x20_1530.jsp,1935,94.47,2.0271
108,40x40_1841.jsp,1670,84.91,2.0725
109,30x20_1888.jsp,5896,97.76,1.9803
110,40x20_968.jsp,8735,88.83,1.9986
111,30x30_143.jsp,9005,98.96,2.0379
112,30x30_157.jsp,4178,100.0,2.0343
113,50x15_891.jsp,8554,89.02,1.9971
114,40x40_1284.jsp,8049,88.97,2.0723
115,30x30_603.jsp,3231,89.35,2.0118
116,40x20_1906.jsp,3594,92.68,2.0306
117,50x15_603.jsp,933,90.89,2.029
118,40x20_1599.jsp,2869,86.65,2.0372
119,50x20_701.jsp,7312,92.98,2.0353
120,40x20_137.jsp,1038,86.9,2.0137
121,40x15_339.jsp,6611,79.32,2.0247
122,50x15_182.jsp,3456,80.56,1.9947
123,50x15_884.jsp,2104,89.54,2.0061
124,100x50_1306.jsp,7777,88.35,2.3471
125,100x50_1692.jsp,8152,89.0,2.3446
126,30x30_1172.jsp,4969,100.0,2.0372
127,30x15_170.jsp,5469,87.44,1.9653
128,50x15_347.jsp,7314,91.45,2.0348
129,30x15_392.jsp,1674,90.26,1.9657
130,30x30_271.jsp,3148,100.0,2.0385
131,40x40_1791.jsp,1671,79.83,2.0724
132,40x40_1261.jsp,8910,81.28,2.0731
