sample_no,instance_id,raw_result,accuracy,time_required
1,40x40_276.jsp,8750,83.13,2.0793
2,40x20_1470.jsp,8965,89.3,2.0395
3,30x20_1769.jsp,4431,98.35,2.0275
4,50x20_564.jsp,7427,84.73,2.0501
5,30x15_231.jsp,4653,90.78,2.0277
6,40x15_792.jsp,1025,90.73,2.0289
7,40x40_1508.jsp,4585,84.17,2.0821
8,30x30_2385.jsp,3369,91.87,2.0413
9,100x50_81.jsp,9221,88.83,2.3612
10,40x20_569.jsp,8249,86.17,2.0377
11,40x15_924.jsp,8080,77.87,2.0292
12,50x15_681.jsp,607,89.62,2.0385
13,30x20_2098.jsp,5213,91.25,2.0284
14,40x15_691.jsp,4514,85.84,2.0277
15,40x20_570.jsp,2270,77.05,2.0385
16,50x20_805.jsp,8968,81.51,2.0534
17,50x20_845.jsp,7249,85.76,2.0516
18,100x50_3534.jsp,9876,85.88,2.3437
19,50x15_457.jsp,5514,87.29,2.0392
20,50x15_971.jsp,2274,85.18,2.0378
21,50x15_754.jsp,9580,83.02,1.5942
22,40x40_1659.jsp,12928,82.54,2.0778
23,40x15_497.jsp,528,89.77,2.0283
24,30x30_418.jsp,6210,91.56,2.0407
25,50x15_184.jsp,7288,91.01,2.0392
26,30x15_509.jsp,890,90.79,2.0204
27,30x20_1598.jsp,3735,90.31,2.0269
28,50x20_361.jsp,2196,80.19,2.0508
29,100x50_747.jsp,10429,92.12,2.3477
30,30x30_2098.jsp,8975,92.32,2.0394
31,40x40_1083.jsp,1716,78.79,2.0819
32,50x20_319.jsp,8488,82.3,2.0497
33,50x20_127.jsp,2403,81.69,2.0498
34,40x40_1459.jsp,11102,93.44,2.0805
35,30x15_602.jsp,3208,87.19,2.0208
36,30x20_2029.jsp,2622,92.14,2.0253
37,50x20_887.jsp,6685,83.41,2.0501
38,30x15_329.jsp,5285,88.82,2.0186
39,40x40_1069.jsp,1340,80.0,2.074
40,100x20_634.jsp,6336,90.91,2.1429
41,100x20_853.jsp,11332,89.28,2.1433
42,50x15_383.jsp,4103,87.42,2.0398
43,40x20_504.jsp,3192,95.27,2.0382
44,30x15_57.jsp,3325,90.98,2.021
45,40x15_775.jsp,425,89.41,2.0286
46,40x20_1215.jsp,1148,98.69,2.0371
47,30x30_1355.jsp,6115,100.0,2.0405
